,ACTIVITY,TS,CUSTOMER,ACTIVITY_REPEATED_AT,COUNT_IN_BETWEEN_GS_DEPLOYMENT_ACTIVITY,DEPS
309,TextComment_CC,2022-08-30,1729,2022-08-31,1,3835
310,TextComment_CC,2022-08-30,1085,2022-10-12,1,1938
311,TextComment_CC,2022-08-30,3438,2022-11-17,2,529
312,TextComment_CC,2022-08-31,7799,2022-09-26,2,5113
313,TextComment_CC,2022-09-01,1025,2022-09-02,1,2913
314,TextComment_CC,2022-09-01,6893,2022-10-06,1,1816
315,TextComment_CC,2022-09-02,6612,2022-09-09,1,913
316,TextComment_CC,2022-09-02,1866,2022-09-13,2,5853
317,TextComment_CC,2022-09-02,6953,2022-09-13,1,11923
318,TextComment_CC,2022-09-06,6049,2022-09-28,2,44198
319,TextComment_CC,2022-09-06,7721,2022-10-21,7,10854
320,TextComment_CC,2022-09-08,8948,2022-09-09,1,9435
321,TextComment_CC,2022-09-08,1025,2022-09-21,2,3016
322,TextComment_CC,2022-09-08,6633,2022-11-10,1,425
323,TextComment_CC,2022-09-09,8948,2022-09-22,1,9569
324,TextComment_CC,2022-09-09,7052,2023-01-10,1,1446
325,TextComment_CC,2022-09-12,6612,2022-10-06,1,947
326,TextComment_CC,2022-09-13,6953,2022-09-20,1,11995
327,TextComment_CC,2022-09-13,6737,2022-10-10,3,11545
328,TextComment_CC,2022-09-13,8587,2022-10-27,4,3991
329,TextComment_CC,2022-09-14,554297,2023-06-27,3,1302
330,TextComment_CC,2022-09-15,2500,2022-10-13,3,15537
331,TextComment_CC,2022-09-15,2126,2023-05-05,2,1727
332,TextComment_CC,2022-09-16,123010,2022-10-09,1,2907
333,TextComment_CC,2022-09-20,6953,2022-09-22,1,12071
334,TextComment_CC,2022-09-20,6572,2022-11-04,2,3116
335,TextComment_CC,2022-09-22,1025,2022-09-29,1,3051
336,TextComment_CC,2022-09-22,8948,2022-09-29,1,9832
337,TextComment_CC,2022-09-22,6953,2022-09-30,1,12050
338,TextComment_CC,2022-09-26,3531,2022-10-07,1,3564
339,TextComment_CC,2022-09-26,7450,2022-10-11,1,1312
340,TextComment_CC,2022-09-26,7799,2023-01-28,6,5704
341,TextComment_CC,2022-09-28,6049,2022-09-29,1,44726
342,TextComment_CC,2022-09-28,3735,2023-01-04,11,8684
