,ACTIVITY,ACTIVITY_ID,TS,CUSTOMER,FEATURE_JSON,ACTIVITY_OCCURRENCE,ACTIVITY_REPEATED_AT
3110,ArticleView_CC,CC_396109,2022-02-11,1729,"{
  ""subject"": ""Revenue Edge""
}",1493,2022-02-11
3111,ArticleView_CC,CC_396110,2022-02-11,1729,"{
  ""subject"": ""Support Cloud""
}",1494,2022-02-11
3112,ArticleView_CC,CC_396867,2022-02-11,1729,"{
  ""subject"": ""Support Cloud""
}",1466,2022-02-11
3113,ArticleView_CC,CC_396862,2022-02-11,1729,"{
  ""subject"": ""Managed Services""
}",1462,2022-02-11
3114,ArticleView_CC,CC_396863,2022-02-11,1729,"{
  ""subject"": ""Broadband Marketing Academy""
}",1463,2022-02-11
3115,ArticleView_CC,CC_396864,2022-02-11,1729,"{
  ""subject"": ""Premises Products""
}",1464,2022-02-11
3116,ArticleView_CC,CC_396865,2022-02-11,1729,"{
  ""subject"": ""Revenue Edge""
}",1465,2022-02-11
3117,ArticleView_CC,CC_396857,2022-02-11,1729,"{
  ""subject"": ""Customer Resources""
}",1457,2022-02-11
3118,ArticleView_CC,CC_396106,2022-02-11,1729,"{
  ""subject"": ""Customer Resources""
}",1490,2022-02-11
3119,ArticleView_CC,CC_396108,2022-02-11,1729,"{
  ""subject"": ""Calix Marketing Cloud""
}",1492,2022-02-11
3120,ArticleView_CC,CC_396107,2022-02-11,1729,"{
  ""subject"": ""Premises Products""
}",1491,2022-02-11
3121,ArticleView_CC,CC_396105,2022-02-11,1729,"{
  ""subject"": ""Broadband Marketing Academy""
}",1489,2022-02-11
3122,ArticleView_CC,CC_396104,2022-02-11,1729,"{
  ""subject"": ""Release 22.1""
}",1488,2022-02-11
3123,ArticleView_CC,CC_396103,2022-02-11,1729,"{
  ""subject"": ""Managed Services""
}",1487,2022-02-11
3124,ArticleView_CC,CC_396102,2022-02-11,1729,"{
  ""subject"": ""Support Cloud 22.1""
}",1486,2022-02-14
3125,ArticleView_CC,CC_396115,2022-02-11,1729,"{
  ""subject"": ""SmartTown Wifi""
}",1434,2022-02-11
3126,ArticleView_CC,CC_396123,2022-02-11,1729,"{
  ""subject"": ""Calix Marketing Cloud""
}",1433,2022-02-11
3127,ArticleView_CC,CC_396137,2022-02-11,1729,"{
  ""subject"": ""Broadband Marketing Academy""
}",1432,2022-02-11
3128,ArticleView_CC,CC_396133,2022-02-11,1729,"{
  ""subject"": ""Revenue Edge 22.1""
}",1431,2022-02-11
